GENERO,CARRERA,DISPOSITIVO,APLICACIONES,MARCA,ÁREA,MAXNOTA,ORDENM,CICLO,SATISFACCIÓN,FRECUENCIA,CANAPLI,CANTDISPOSITIVOS,MINUTOS,CURSOS,COSTO,PROMEDIO,DÍAS
MASCULINO,Ingeniería de la Energía,Laptop,Otro,"Acer, Samsung","Proyectos Interdisciplinarios ,Tesis y Real life Experience",20,Tercio superior,Primero,Mucho,Regular,2,2,180,7,2400,17.66,6
FEMENINO,Bioingeniería,Laptop,MatLab,"HP, Xiaomi",Cursos de gestión,17,Medio superior,Cuarto,Regular,Mucho,5,2,360,7,3000,14.6,7
FEMENINO,Ingeniería Civil,Laptop,AutoCAD,"HP, Apple",Cursos de carrera,19,Quinto superior,Cuarto,Mucho,Mucho,6,4,300,7,3700,14.85,7
FEMENINO,Ingeniería Industrial,Laptop,Canva,Acer,Cursos de carrera,14,Ninguno de los anteriores,Primero,Mucho,Mucho,7,5,380,4,4000,14,4
FEMENINO,Bioingeniería,Smartphone,Rstudio,"HP, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",19.2,Decimo superior,Tercero,Mucho,Mucho,4,4,120,6,5000,14.55,7
FEMENINO,Ingeniería Química,Smartphone,Canva,"Asus, Samsung",Cursos de carrera,16,Medio superior,Sexto,Regular,Mucho,3,2,360,5,3500,14.6,7
FEMENINO,Ingeniería Industrial,Tablet,One Note,"Lenovo, Samsung",Cursos de carrera,16,Tercio superior,Cuarto,Regular,Regular,8,3,360,6,4500,16.98,7
FEMENINO,Ingeniería Industrial,Smartphone,One Note,Samsung,"Humanidades, Arte y Ciencias sociales(HACS)",18,Quinto superior,Cuarto,Mucho,Mucho,8,3,300,6,5000,14.94,7
MASCULINO,Ingeniería Mecatrónica,Laptop,Pycharm,HP,Ciencias Generales,16,Ninguno de los anteriores,Primero,Regular,Poco,3,3,400,5,2980,15,7
MASCULINO,Bioingeniería,Smartphone,Power point,"Dell, Apple, Huawei",Cursos de carrera,20,Tercio superior,Sexto,Regular,Poco,2,4,300,6,4980,18.88,7
MASCULINO,Ingeniería Ambiental,Laptop,Canva,"Asus, Samsung",Cursos de carrera,19,Quinto superior,Octavo,Regular,Regular,7,4,100,6,6000,15,5
FEMENINO,Bioingeniería,Laptop,One Note,HP,Ciencias Generales,16,Medio superior,Tercero,Mucho,Mucho,5,2,260,5,1000,14.25,6
MASCULINO,Bioingeniería,Smartphone,Kahoot,"Lenovo, Samsung, otros","Proyectos Interdisciplinarios ,Tesis y Real life Experience",17,Ninguno de los anteriores,Tercero,Regular,Regular,6,3,180,7,4500,14.41,6
FEMENINO,Ingeniería Industrial,Laptop,Excel,Apple,Cursos de carrera,20,Decimo superior,Sexto,Regular,Regular,8,4,380,7,6000,18.5,7
FEMENINO,Bioingeniería,Smartphone,Word,"HP, Apple",Ciencias Generales,20,Ninguno de los anteriores,Primero,Mucho,Mucho,5,3,180,1,1500,15,7
MASCULINO,Bioingeniería,Laptop,Khan Academy,Lenovo,"Humanidades, Arte y Ciencias sociales(HACS)",20,Medio superior,Segundo,Mucho,Mucho,4,4,960,7,2350,15,7
FEMENINO,Ingeniería Industrial,Laptop,Rstudio,otros,Cursos de carrera,15,Ninguno de los anteriores,Noveno,Regular,Mucho,2,2,120,5,4000,12.3,6
FEMENINO,Ingeniería Civil,Laptop,Canva,"Acer, otros","Proyectos Interdisciplinarios ,Tesis y Real life Experience",19,Medio superior,Cuarto,Regular,Regular,5,3,420,6,3300,13.3,5
FEMENINO,Ingeniería Civil,Laptop,AutoCAD,Lenovo,"Humanidades, Arte y Ciencias sociales(HACS)",14,Quinto superior,Quinto,Regular,Regular,5,4,120,5,5000,13,7
MASCULINO,Ingeniería Civil,Smartphone,AutoCAD,"HP, Samsung",Cursos de carrera,18,Tercio superior,Cuarto,Regular,Mucho,5,3,480,6,2000,17,7
MASCULINO,Ingeniería Civil,Smartphone,Excel,Lenovo,Cursos de carrera,18,Decimo superior,Sexto,Mucho,Mucho,2,2,120,5,2200,15,3
FEMENINO,Ingeniería Civil,Smartphone,Otro,"HP, Samsung","Humanidades, Arte y Ciencias sociales(HACS)",20,Ninguno de los anteriores,Cuarto,Mucho,Mucho,6,6,240,7,2000,13.56,7
MASCULINO,Ingeniería Civil,Laptop,Canva,Lenovo,Ciencias Generales,18,Tercio superior,Quinto,Regular,Mucho,8,3,900,8,3500,16.7,7
FEMENINO,Ingeniería Civil,Tablet,One Note,Samsung,Ciencias Generales,17,Decimo superior,Cuarto,Regular,Regular,3,3,160,6,1099,14.5,5
MASCULINO,Ingeniería Industrial,Laptop,Rstudio,Acer,Cursos de carrera,17,Ninguno de los anteriores,Quinto,Regular,Mucho,8,3,300,7,4900,16,7
MASCULINO,Ingeniería Industrial,Smartphone,AutoCAD,"Acer, otros",Cursos de carrera,18,Ninguno de los anteriores,Quinto,Poco,Poco,3,3,120,8,3999,13,7
MASCULINO,Ingeniería Industrial,Smartphone,One Note,"Lenovo, Samsung",Ciencias Generales,19,Quinto superior,Cuarto,Mucho,Mucho,5,2,480,6,4000,16.33,7
FEMENINO,Ingeniería Civil,Tablet,Canva,Apple,"Humanidades, Arte y Ciencias sociales(HACS)",18,Tercio superior,Cuarto,Mucho,Mucho,8,3,360,6,1500,14.61,6
MASCULINO,Ingeniería Civil,Laptop,CLion,"Acer, Xiaomi",Ciencias Generales,15,Tercio superior,Segundo,Regular,Mucho,4,2,120,7,2000,15.5,6
MASCULINO,Ingeniería Mecánica,Smartphone,Excel,"HP, Xiaomi",Ciencias Generales,18,Quinto superior,Octavo,Regular,Mucho,4,3,300,7,2000,15.7,5
FEMENINO,Ingeniería Industrial,Tablet,Kahoot,Samsung,Cursos de gestión,16,Ninguno de los anteriores,Cuarto,Regular,Poco,4,5,120,6,3000,15,4
