IngresoUniversidad,EstudiayTrabaja,Escala,Beca,PresupuestoS,CantidadAlmuerzos,PrecioMaxAlmuerzos,TipodeTransporte,GastoSemanalTransporte,PlanMovil,AsistenciaUniversidad,GastoExtra,PlanificacionGastosS,ConociminetoFinanciero,FrecuenciaAprendizajeFi,MedioInformacionFi,AhorroSemanal,Organizacion,NiveldeAdministraicon,CantidadTalleresFi,SatisfaccionPresupuestoS,GastoCubierto,EficienciaPlanificacion,GastoPlanMovil
2021-1,No,E,No becado,120,3,12,Bus,4,Soy postpago,4,Ahorra casi todo,Sí,"Si conoce, no administra",Casi siempre,Instagram,30,2,Buena,4,Sí,5,Eficiente,0
2018-1,No,E,No becado,40,2,12,Bus,8,Soy postpago,2,Ahorra un poco,Sí,"No conoce, si administra",Rara vez,Tik Tok,5,0,Buena,2,Sí,0,Poco eficiente,0
2018-1,No,E,No becado,150,3,14,Taxi,120,Soy postpago,3,Ahorra casi todo,No,"No conoce, no administra",Casi nunca,Otros,5,0,Muy mala,0,Sí,0,Ineficiente,0
2018-1,No,C,No becado,100,4,13,Vehiculo particular,50,Soy postpago,5,Ahorra todo,Sí,"No conoce, si administra",Rara vez,Otros,20,0,Mala,0,Sí,2,"Ni eficiente, ni ineficiente",0
2020-1,Sí,D,No becado,100,2,12,Metropolitano o tren,10,Soy prepago,5,Ahorra casi todo,No,"Si conoce, si administra",Casi nunca,Facebook,30,0,Excelente,Más de 5 cursos o talleres,Sí,4,"Ni eficiente, ni ineficiente",5
2020-2,No,E,No becado,40,0,10,Bus,24,Soy postpago,6,Ahorra un poco,No,"No conoce, si administra",A veces,Eventos de UTEC,15,0,Buena,Más de 5 cursos o talleres,Sí,0,"Ni eficiente, ni ineficiente",0
2020-2,Sí,D,Credito educativo,250,5,30,Bus,25,Soy postpago,5,No ahorra,Sí,"Si conoce, si administra",A veces,Otros,25,3,Regular,3,Sí,5,Eficiente,0
2021-2,No,E,Becado,50,3,12,Metropolitano o tren,10,Soy postpago,5,Ahorra casi todo,No,"Si conoce, si administra",A veces,Tik Tok,20,1,Regular,0,Sí,2,"Ni eficiente, ni ineficiente",0
2021-1,No,D,No becado,60,3,12,Bus,15,Soy prepago,5,Ahorra un poco,No,"Si conoce, no administra",A veces,Otros,5,2,Regular,2,Sí,0,"Ni eficiente, ni ineficiente",20
2021-2,No,D,Becado,50,0,15,Bus,30,Soy prepago,5,Ahorra todo,No,"No conoce, si administra",Rara vez,Otros,20,0,Excelente,0,Sí,3,"Ni eficiente, ni ineficiente",5
2022-2,No,E,Becado,120,5,12,Bus,18,Soy prepago,6,Ahorra todo,No,"No conoce, si administra",Rara vez,Facebook,70,0,Buena,0,Sí,5,"Ni eficiente, ni ineficiente",25
2022-2,No,E,Becado,200,5,13,Bus,10,Soy postpago,6,Ahorra un poco,No,"No conoce, si administra",Casi nunca,Facebook,0,1,Buena,0,Sí,3,"Ni eficiente, ni ineficiente",0
2023-1,No,C,No becado,100,1,10,Bus,30,Soy postpago,5,Ahorra un poco,No,"No conoce, si administra",Casi siempre,Instagram,70,1,Buena,0,Sí,0,"Ni eficiente, ni ineficiente",0
2022-1,Sí,E,Becado,100,1,9,Bus,20,Soy prepago,5,Ahorra todo,Sí,"Si conoce, si administra",Casi siempre,Otros,50,1,Excelente,Más de 5 cursos o talleres,Sí,3,Eficiente,0
2022-2,No,E,Becado,200,4,12,Bus,20,Soy prepago,5,Ahorra un poco,Sí,"No conoce, si administra",Rara vez,Facebook,20,1,Regular,2,No,4,"Ni eficiente, ni ineficiente",15
2022-1,No,E,Becado,100,2,12,Metropolitano o tren,4,Soy postpago,5,Ahorra casi nada,No,"Si conoce, no administra",Casi nunca,Facebook,20,0,Muy mala,0,No,4,Ineficiente,0
