CODIGO ESTACION,ESTACION,ANO,MES,DIA,HORA,PM10,PM2.5,SO2,NO2,O3,CO
112192,ATE,2015,12,7,15,112.51,24,3.6,12.7,16.9,1632.3
112192,ATE,2015,12,7,16,115.19,33.9,8.7,15.6,12.8,1696.9
112192,ATE,2015,12,7,17,115.75,31.5,5.9,17.2,9.8,1780.2
112192,ATE,2015,12,7,18,137.97,32.7,8.5,20.1,7.1,2017.4
112192,ATE,2015,12,7,19,173.56,35.8,23.9,23.8,6.5,2235.6
112192,ATE,2015,12,7,20,162.28,44.2,22,24.1,6.3,2260.4
112192,ATE,2015,12,7,21,151.86,44.1,22.4,19.4,6.3,2188.9
112192,ATE,2015,12,7,22,124.88,7.6,32,18.1,6.6,2101.6
112192,ATE,2015,12,7,23,93.72,18.4,18,18,6.2,1924.8
112192,ATE,2015,12,8,0,99.19,33.4,17.3,19.8,5.7,1976.2
112192,ATE,2015,12,8,1,99.51,40.1,11.8,17.3,6.1,2028.6
112192,ATE,2015,12,8,2,103.25,49.9,12.7,20.4,6.1,1834
112192,ATE,2015,12,8,3,74.46,49.5,6.6,15.2,5.4,1714.2
112192,ATE,2015,12,8,4,48.9,33.3,3,10.4,5.7,1531.7
112192,ATE,2015,12,8,5,46.73,24.8,2.9,9.2,6,1527.9
112192,ATE,2015,12,8,6,31.69,20.5,1.6,9.2,8.3,1557.6
112192,ATE,2015,12,8,7,31.62,18.1,0.3,13.8,7.3,1643.7
112192,ATE,2015,12,8,8,29.99,20.8,0.5,12.6,6.8,1778.8
112192,ATE,2015,12,8,9,42.08,25.9,0.6,17,6.6,2002.5
112192,ATE,2015,12,8,10,77.76,31.3,2,23.1,9.8,1950.2
112192,ATE,2015,12,8,11,92.34,33.2,1.1,28.8,14.2,1919.3
112192,ATE,2015,12,8,12,87.77,33.8,2.1,34.4,23.6,1853.9
112192,ATE,2015,12,8,13,78.2,30.8,2.3,36.7,29.7,1835.7
112192,ATE,2015,12,8,14,67.85,26.8,2.3,29.9,36.4,1800.2
112192,ATE,2015,12,8,15,75.36,16.4,2,26.7,35.1,1761.9
112192,ATE,2015,12,8,16,96.68,18,1.5,11.6,45.4,1637.1
112192,ATE,2015,12,8,17,108.44,35.5,5.5,20.7,59.2,1432.9
112192,ATE,2015,12,8,18,83.5,37.4,3.8,25.2,67.4,1514.5
112192,ATE,2015,12,8,19,109.03,31.6,3.4,29.7,24.6,1953.6
112192,ATE,2015,12,8,20,122.86,18.6,6.4,31.1,6.7,2392.7
112192,ATE,2015,12,8,21,105.71,14.3,4.7,21.3,6.2,2321.2
112192,ATE,2015,12,8,22,104.28,24,4.8,21.6,6.3,2331.9
112192,ATE,2015,12,8,23,109.26,23.5,8.7,17.8,5.7,2421
