Nombre de los paises,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"Irán, República Islámica del",,,,80,76,78,83,86,85,88,85,83,83,82,75,79,84,82,,,,,,,,,,,,,,,,,,,,70,78,73,74,76,77,79,73,69,16,,,,70,62,,66,68,69,70,67,62,,
Iraq,,,,74,,,,,,,,,75,72,66,78,81,,,,,,,,,,,,,,,,,,,,,,,,16,30,41,,,,,54,33,,,,,,66,,,,,,
Islandia,,,67,70,73,73,77,75,71,66,69,74,74,77,73,72,71,73,74,66,68,69,70,68,69,70,77,81,80,75,75,76,76,73,75,75,76,77,78,78,75,74,71,75,74,77,77,76,65,62,59,58,60,57,59,63,68,67,62,64,69
Israel,,,63,63,66,65,62,63,68,72,72,73,74,72,64,62,63,65,69,64,57,55,59,66,64,66,76,77,77,75,76,78,79,80,82,82,82,81,82,83,81,81,81,79,79,76,75,74,70,72,72,71,68,69,72,76,79,77,76,76,78
Italia,,,43,44,41,35,37,39,40,43,46,44,45,45,39,40,42,42,44,45,45,42,42,42,45,46,55,60,62,61,63,64,66,63,64,67,66,67,71,71,68,68,69,68,68,66,63,65,62,64,63,61,58,60,63,67,70,69,68,69,
Jamaica,,,63,63,,,,,,,,,66,62,51,56,49,45,48,46,39,44,47,48,45,46,54,58,,,,64,63,65,66,68,65,65,67,64,61,62,63,61,56,53,57,49,45,51,49,45,44,43,45,54,59,57,56,54,
Jordania,,,,,54,56,53,59,53,55,53,54,48,48,54,63,59,69,64,64,61,63,58,55,53,53,55,57,,55,52,54,62,63,61,61,,57,62,61,58,62,61,59,57,58,57,57,55,60,56,49,45,50,48,55,58,58,54,55,
Japón,,,24,23,22,20,19,21,22,23,25,24,25,26,20,18,18,18,22,22,19,19,20,22,24,25,34,38,40,42,43,44,44,46,49,53,54,54,57,57,56,57,57,57,56,54,51,51,45,52,50,47,47,48,50,60,62,59,58,59,62
Kazajstán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,64,68,70,76,4,75,78,78,77,78,78,79,74,80,79,75,77,77,82,80,78,78,77,81,
Kenya,,,,,,,,,,,,,,,,,63,67,72,67,56,54,52,51,53,55,69,69,,,66,68,54,67,64,71,68,63,64,68,58,62,65,61,62,64,63,62,58,60,63,,,62,,71,70,62,64,63,
Kirguistán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,48,,58,64,58,55,53,57,51,52,53,50,43,50,54,58,60,61,62,62,72,70,70,71,
Camboya,,,77,77,78,84,83,79,81,82,79,72,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,72,76,77,79,82,82,83,81,78,79,76,73,78,85,82,79,76,74,77,
Kiribati,,,,,,,,,,,,,,50,44,47,47,44,53,42,45,,,49,51,50,54,49,,50,54,50,64,54,47,48,46,52,43,49,,,,,15,41,35,33,30,40,32,29,47,41,47,53,48,,,,
Saint Kitts y Nevis,,,,,,,,,,,,,,,,,,,,,,64,60,63,,,68,72,,,,,,71,73,71,71,70,,73,70,72,76,71,68,70,70,72,72,72,74,71,69,74,75,72,72,71,,,
