Código,Descripción del producto,Valor exportado en 2002,Valor exportado en 2003,Valor exportado en 2004,Valor exportado en 2005,Valor exportado en 2006,Valor exportado en 2007,Valor exportado en 2008,Valor exportado en 2009,Valor exportado en 2010,Valor exportado en 2011,Valor exportado en 2012,Valor exportado en 2013,Valor exportado en 2014,Valor exportado en 2015,Valor exportado en 2016,Valor exportado en 2017,Valor exportado en 2018,Valor exportado en 2019,Valor exportado en 2020,Valor exportado en 2021
010120,Asnos; mulos y burdeganos; vivos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010231,De raza pura para la cría de búfalos,0,0,0,0,0,0,0,0,0,0,0,2102,5296,0,117,0,0,12,0,0
010239,Búfalos vivos (excepto de raza pura para reproducción),0,0,0,0,0,0,0,0,0,0,11566,4686,644,0,0,0,0,1,1,0
010391,Porcinos vivos; de peso < 50 kg (exc. reproductores de raza pura),0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0
010410,Ovinos vivos,0,0,0,93,10,26,902,355,97,1365,37,0,0,278,0,0,1,0,0,0
010420,Caprinos vivos,0,0,0,4,0,0,106,0,0,121,0,8,0,0,0,0,1,0,0,0
010641,Abejas vivas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
010512,"""Pavos """"gallipavos"""" de las especies domésticas; vivos; de peso <= 185 g""",0,0,68,55,57,177,246,125,0,0,0,0,0,0,0,0,0,0,0,0
010519,Gallos; gallinas; patos; gansos; pavos (gallipavos) y pintadas; de las especies domésticas; ...,0,0,0,1,0,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0
010592,Gallos y gallinas de las especies domésticas; vivos; de peso > 185 g pero <= 2 kg,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010594,Gallos y gallinas de las especies domésticas; vivos; de peso > 185 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
010599,"""Patos; gansos; pavos """"gallipavos"""" y pintadas de las especies domésticas; vivos; de peso ...",0,0,0,0,0,0,0,0,0,0,1,0,0,425,0,0,1,2,0,0
010600,Los demas animales vivos.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
010611,Primates vivos,0,0,6,2,0,0,32,43,27,23,0,1,0,0,0,0,0,0,0,0
020680,Despojos de animales de las especies ovina; caprina; caballar; asnal o mular; comestibles; ...,2,3,4,10,4,2,0,0,0,0,96,0,0,1,36,31,0,0,0,0
030212,Pescado fresco o refrigerado (excepto los filetes y demás carne de pescado de la partida 0304) ...,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
